Estimator,AOE1_MEAN,AOE1_STDEV,AOE2_MEAN,AOE2_STDEV
schreiber2018/fcn,0.096769625882584,0.27714036939523257,0.013481407321056404,0.044560196796771735
boeck2020/dar,0.11787195917796327,0.30460093383023235,0.018934895884196834,0.05564963228665697
schreiber2018/cnn,0.1298693011358097,0.3181595255408653,0.015905103207201197,0.054505206653337676
schreiber2017/mirex2017,0.15739576803300517,0.34542459629863675,0.01907334113810027,0.06209868551746882
schreiber2018/ismir2018,0.16834239634119075,0.359158446649852,0.015395147513843894,0.05185980330778294
boeck2019/multi_task_hjdb,0.21825445114629588,0.396059426377988,0.020479412556939403,0.06308124425592695
boeck2019/multi_task,0.28728036285273956,0.43782421562399354,0.0213301377440153,0.0650465657064311
schreiber2017/ismir2017,0.29108390189727357,0.439336955271478,0.020673612879991202,0.06607751003131618
schreiber2014/default,0.36618745881114,0.463641837008223,0.028666747575384365,0.08271030599846206
boeck2015/tempodetector2016_default,0.3974401587192012,0.5599330555113947,0.030219611732471764,0.08768701442862796
percival2014/stem,0.41561171591603635,0.47873150547896565,0.02172992323935003,0.07006887749786053
davies2009/mirex_qm_tempotracker,0.432530707405905,0.35516786014607715,0.20263367989692482,0.19978438153114747
